Прибор: ;Hydra-L (01); ; Интервал: ;2023-07-11 19:19:00; / ;2023-07-17 19:19:00;
Date;BME280_temp;BME280_pressure;BME280_humidity;
2023-07-15 13:38:40;26.37;743.66;44.09;
2023-07-15 13:39:40;26.37;743.67;44.07;
2023-07-15 13:40:40;26.37;743.66;44.04;
2023-07-15 13:41:40;26.37;743.65;44.02;
2023-07-15 13:42:40;26.37;743.63;44.03;
2023-07-15 13:43:40;26.36;743.64;44.05;
2023-07-15 13:44:40;26.38;743.63;44;
2023-07-15 13:45:40;26.37;743.62;44.02;
2023-07-15 13:46:40;26.36;743.62;44.07;
2023-07-15 13:47:40;26.36;743.62;44.08;
2023-07-15 13:48:40;26.37;743.63;44.09;
2023-07-15 13:49:40;26.37;743.61;44.08;
2023-07-15 13:50:40;26.38;743.63;44.06;
2023-07-15 13:51:40;26.39;743.62;44.04;
2023-07-15 13:52:40;26.38;743.63;44.04;
2023-07-15 13:53:40;26.39;743.6;44.03;
2023-07-15 13:54:40;26.37;743.61;44.09;
2023-07-15 13:55:40;26.36;743.62;44.12;
2023-07-15 13:56:40;26.37;743.62;44.14;
2023-07-15 13:57:40;26.38;743.6;44.14;
2023-07-15 13:58:40;26.39;743.62;44.11;
2023-07-15 13:59:40;26.36;743.66;44.2;
2023-07-15 14:00:40;26.37;743.64;44.16;
2023-07-15 14:01:40;26.38;743.64;44.14;
2023-07-15 14:02:40;26.38;743.64;44.12;
2023-07-15 14:03:40;26.39;743.62;44.06;
2023-07-15 14:04:40;26.39;743.64;44.02;
2023-07-15 14:05:40;26.39;743.62;44.02;
2023-07-15 14:06:40;26.38;743.62;44.04;
2023-07-15 14:07:40;26.38;743.66;44.05;
2023-07-15 14:08:40;26.37;743.65;44.1;
2023-07-15 14:09:40;26.38;743.65;44.13;
2023-07-15 14:10:40;26.39;743.64;44.15;
2023-07-15 14:11:40;26.4;743.6;44.18;
2023-07-15 14:12:40;26.4;743.62;44.19;
2023-07-15 14:13:40;26.4;743.62;44.2;
2023-07-15 14:14:40;26.39;743.62;44.21;
2023-07-15 14:15:40;26.39;743.66;44.23;
2023-07-15 14:16:40;26.39;743.62;44.21;
2023-07-15 14:17:40;26.38;743.6;44.21;
2023-07-15 14:18:40;26.38;743.6;44.22;
2023-07-15 14:19:40;26.38;743.6;44.21;
2023-07-15 14:20:40;26.39;743.64;44.19;
2023-07-15 14:21:40;26.38;743.66;44.2;
2023-07-15 14:22:40;26.36;743.63;44.25;
2023-07-15 14:23:40;26.38;743.61;44.26;
2023-07-15 14:24:40;26.38;743.64;44.28;
2023-07-15 14:25:40;26.37;743.64;44.33;
2023-07-15 14:26:40;26.39;743.65;44.32;
2023-07-15 14:27:40;26.38;743.66;44.3;
2023-07-15 14:28:40;26.38;743.66;44.3;
2023-07-15 14:29:40;26.36;743.66;44.33;
2023-07-15 14:30:40;26.37;743.69;44.31;
2023-07-15 14:31:40;26.38;743.68;44.32;
2023-07-15 14:32:40;26.38;743.68;44.35;
2023-07-15 14:33:40;26.39;743.67;44.36;
2023-07-15 14:34:40;26.39;743.67;44.36;
2023-07-15 14:35:40;26.39;743.69;44.38;
2023-07-15 14:36:40;26.38;743.67;44.43;
2023-07-15 14:37:40;26.39;743.67;44.4;
2023-07-15 14:38:40;26.39;743.68;44.39;
2023-07-15 14:39:40;26.39;743.72;44.39;
2023-07-15 14:40:40;26.39;743.75;44.38;
2023-07-15 14:41:40;26.38;743.72;44.46;
2023-07-15 14:42:40;26.38;743.71;44.45;
2023-07-15 14:43:40;26.39;743.68;44.41;
2023-07-15 14:44:42;26.38;743.67;44.41;
2023-07-15 14:45:40;26.37;743.67;44.39;
2023-07-15 14:46:40;26.36;743.65;44.4;
2023-07-15 14:47:40;26.36;743.72;44.41;
2023-07-15 14:48:40;26.36;743.65;44.43;
2023-07-15 14:49:40;26.35;743.65;44.46;
2023-07-15 14:50:40;26.37;743.69;44.44;
2023-07-15 14:51:40;26.39;743.68;44.42;
2023-07-15 14:52:40;26.39;743.7;44.42;
2023-07-15 14:53:40;26.38;743.69;44.46;
2023-07-15 14:54:40;26.38;743.75;44.5;
2023-07-15 14:55:40;26.37;743.7;44.57;
2023-07-15 14:56:40;26.37;743.71;44.57;
2023-07-15 14:57:40;26.36;743.69;44.57;
2023-07-15 14:58:40;26.35;743.73;44.57;
2023-07-15 14:59:40;26.35;743.74;44.57;
2023-07-15 15:00:40;26.37;743.77;44.52;
2023-07-15 15:01:40;26.37;743.73;44.53;
2023-07-15 15:02:40;26.37;743.71;44.5;
2023-07-15 15:03:40;26.37;743.74;44.51;
2023-07-15 15:04:40;26.34;743.79;44.59;
2023-07-15 15:05:40;26.35;743.77;44.58;
2023-07-15 15:06:40;26.35;743.79;44.58;
2023-07-15 15:07:42;26.34;743.79;44.54;
2023-07-15 15:08:40;26.33;743.81;44.52;
2023-07-15 15:09:40;26.33;743.84;44.38;
2023-07-15 15:10:40;26.32;743.81;44.34;
2023-07-15 15:11:40;26.34;743.81;44.28;
2023-07-15 15:12:40;26.32;743.8;44.33;
2023-07-15 15:13:40;26.33;743.82;44.32;
2023-07-15 15:14:40;26.3;743.79;44.37;
2023-07-15 15:15:40;26.33;743.81;44.3;
2023-07-15 15:16:40;26.32;743.82;44.32;
2023-07-15 15:17:40;26.33;743.76;44.3;
2023-07-15 15:18:40;26.34;743.81;44.29;
2023-07-15 15:19:40;26.33;743.82;44.31;
2023-07-15 15:20:40;26.32;743.77;44.35;
2023-07-15 15:21:40;26.3;743.82;44.39;
2023-07-15 15:22:40;26.31;743.9;44.34;
2023-07-15 15:23:40;26.29;743.86;44.34;
2023-07-15 15:24:40;26.3;743.84;44.3;
2023-07-15 15:25:40;26.31;743.85;44.25;
2023-07-15 15:26:40;26.32;743.84;44.21;
2023-07-15 15:27:40;26.3;743.83;44.26;
2023-07-15 15:28:40;26.31;743.83;44.24;
2023-07-15 15:29:40;26.31;743.79;44.27;
2023-07-15 15:30:40;26.31;743.84;44.27;
2023-07-15 15:31:40;26.3;743.8;44.3;
2023-07-15 15:32:40;26.3;743.79;44.33;
2023-07-15 15:33:40;26.3;743.82;44.36;
2023-07-15 15:34:40;26.3;743.77;44.37;
2023-07-15 15:35:40;26.3;743.77;44.36;
2023-07-15 15:36:43;26.32;743.82;44.29;
2023-07-15 15:37:40;26.33;743.78;44.25;
2023-07-15 15:38:40;26.29;743.85;44.35;
2023-07-15 15:39:40;26.31;743.85;44.3;
2023-07-15 15:40:40;26.31;743.83;44.23;
2023-07-15 15:41:40;26.3;743.85;44.23;
2023-07-15 15:42:40;26.31;743.87;44.19;
2023-07-15 15:43:40;26.31;743.85;44.19;
2023-07-15 15:44:40;26.31;743.88;44.16;
2023-07-15 15:45:40;26.3;743.85;44.18;
2023-07-15 15:46:40;26.3;743.86;44.17;
2023-07-15 15:47:40;26.31;743.92;44.11;
2023-07-15 15:48:40;26.3;743.89;44.1;
2023-07-15 15:49:40;26.31;743.89;44.04;
2023-07-15 15:50:40;26.31;743.87;44.03;
2023-07-15 15:51:40;26.29;743.92;44.05;
2023-07-15 15:52:40;26.31;743.89;44.01;
2023-07-15 15:53:40;26.32;743.9;43.98;
2023-07-15 15:54:40;26.29;743.9;44.02;
2023-07-15 15:55:40;26.28;743.91;44.04;
2023-07-15 15:56:40;26.29;743.91;44.03;
2023-07-15 15:57:40;26.29;743.91;44.02;
2023-07-15 15:58:40;26.3;743.92;43.99;
2023-07-15 15:59:40;26.3;743.93;43.96;
2023-07-15 16:00:40;26.28;743.97;43.93;
2023-07-15 16:01:40;26.29;743.98;43.92;
2023-07-15 16:02:40;26.26;743.96;43.94;
2023-07-15 16:03:40;26.26;743.93;43.94;
2023-07-15 16:04:40;26.26;743.97;43.95;
2023-07-15 16:05:40;26.27;743.95;43.92;
2023-07-15 16:06:40;26.26;743.95;43.94;
2023-07-15 16:07:40;26.28;743.94;43.9;
2023-07-15 16:08:40;26.27;743.94;43.92;
2023-07-15 16:09:40;26.27;744;43.92;
2023-07-15 16:10:40;26.27;743.99;43.95;
2023-07-15 16:11:40;26.26;743.96;43.98;
2023-07-15 16:12:40;26.28;743.96;43.96;
2023-07-15 16:13:40;26.27;743.96;43.97;
2023-07-15 16:14:40;26.27;743.96;43.94;
2023-07-15 16:15:40;26.28;743.96;43.94;
2023-07-15 16:16:40;26.26;743.94;43.98;
2023-07-15 16:17:40;26.25;743.95;44.01;
2023-07-15 16:18:40;26.27;744.01;43.97;
2023-07-15 16:19:40;26.27;743.96;43.96;
2023-07-15 16:20:40;26.29;743.95;43.93;
2023-07-15 16:21:40;26.28;743.95;43.91;
2023-07-15 16:22:40;26.25;743.95;43.94;
2023-07-15 16:23:40;26.27;743.97;43.91;
2023-07-15 16:24:40;26.25;743.95;43.92;
2023-07-15 16:25:40;26.26;743.95;43.89;
2023-07-15 16:26:40;26.25;743.94;43.9;
2023-07-15 16:27:40;26.26;743.94;43.85;
2023-07-15 16:28:40;26.26;743.93;43.89;
2023-07-15 16:29:40;26.26;743.92;43.91;
2023-07-15 16:30:40;26.26;743.92;43.89;
2023-07-15 16:31:40;26.26;743.93;43.88;
2023-07-15 16:32:40;26.27;743.93;43.87;
2023-07-15 16:33:40;26.27;743.92;43.84;
2023-07-15 16:34:40;26.27;743.91;43.84;
2023-07-15 16:35:40;26.26;743.89;43.86;
2023-07-15 16:36:40;26.25;743.91;43.9;
2023-07-15 16:37:40;26.27;743.89;43.85;
2023-07-15 16:38:40;26.27;743.9;43.87;
2023-07-15 16:39:40;26.25;743.92;43.89;
2023-07-15 16:40:40;26.27;743.89;43.86;
2023-07-15 16:41:40;26.25;743.9;43.92;
2023-07-15 16:42:40;26.24;743.87;43.92;
2023-07-15 16:43:40;26.26;743.89;43.88;
2023-07-15 16:44:40;26.26;743.9;43.87;
2023-07-15 16:45:40;26.27;743.9;43.85;
2023-07-15 16:46:40;26.27;743.93;43.86;
2023-07-15 16:47:40;26.26;743.92;43.89;
2023-07-15 16:48:40;26.23;743.9;43.96;
2023-07-15 16:49:40;26.24;743.93;43.93;
2023-07-15 16:50:40;26.24;743.93;43.92;
2023-07-15 16:51:40;26.24;743.9;43.87;
2023-07-15 16:52:40;26.25;743.89;43.8;
2023-07-15 16:53:40;26.24;743.89;43.8;
2023-07-15 16:54:40;26.25;743.92;43.78;
2023-07-15 16:55:40;26.23;743.93;43.83;
2023-07-15 16:56:40;26.25;743.94;43.83;
2023-07-15 16:57:40;26.25;743.92;43.85;
2023-07-15 16:58:40;26.26;743.91;43.84;
2023-07-15 16:59:40;26.25;743.94;43.88;
2023-07-15 17:00:40;26.25;743.91;43.88;
2023-07-15 17:01:41;26.24;743.92;43.91;
2023-07-15 17:02:41;26.22;743.89;43.96;
2023-07-15 17:03:40;26.24;743.93;43.93;
2023-07-15 17:04:42;26.25;743.93;43.91;
2023-07-15 17:05:41;26.26;743.94;43.88;
2023-07-15 17:06:40;26.26;743.92;43.89;
2023-07-15 17:07:40;26.24;743.92;43.92;
2023-07-15 17:08:40;26.24;743.95;43.94;
2023-07-15 17:09:40;26.22;743.96;44.01;
2023-07-15 17:10:40;26.24;743.97;43.97;
2023-07-15 17:11:40;26.24;743.97;43.97;
2023-07-15 17:12:40;26.24;743.97;43.98;
2023-07-15 17:13:40;26.23;743.98;44.01;
2023-07-15 17:14:40;26.23;744.03;44;
2023-07-15 17:15:40;26.25;743.95;43.98;
2023-07-15 17:16:40;26.25;744.02;43.96;
2023-07-15 17:17:40;26.25;744.04;43.94;
2023-07-15 17:18:40;26.26;744.05;43.92;
2023-07-15 17:19:40;26.25;744.07;43.95;
2023-07-15 17:20:40;26.26;744.07;43.92;
2023-07-15 17:21:40;26.26;744.06;43.93;
2023-07-15 17:22:41;26.23;744.1;43.92;
2023-07-15 17:23:40;26.25;744.05;43.88;
2023-07-15 17:24:40;26.24;744.06;43.89;
2023-07-15 17:25:40;26.23;744.09;43.91;
2023-07-15 17:26:40;26.23;744.08;43.94;
2023-07-15 17:27:40;26.22;744.09;43.97;
2023-07-15 17:28:40;26.21;744.07;43.99;
2023-07-15 17:29:40;26.24;744.06;43.94;
2023-07-15 17:30:40;26.24;744.06;43.92;
2023-07-15 17:31:40;26.24;744.11;43.9;
2023-07-15 17:32:40;26.25;744.05;43.85;
2023-07-15 17:33:40;26.19;744.1;43.96;
2023-07-15 17:34:40;26.22;744.08;43.89;
2023-07-15 17:35:40;26.21;744.08;43.92;
2023-07-15 17:36:40;26.21;744.09;43.91;
2023-07-15 17:37:40;26.21;744.11;43.94;
2023-07-15 17:38:40;26.2;744.1;43.98;
2023-07-15 17:39:40;26.23;744.1;43.93;
2023-07-15 17:40:40;26.23;744.1;43.93;
2023-07-15 17:41:40;26.23;744.1;43.95;
2023-07-15 17:42:40;26.23;744.08;43.96;
2023-07-15 17:43:40;26.23;744.1;43.98;
2023-07-15 17:44:40;26.23;744.14;43.96;
2023-07-15 17:45:40;26.23;744.09;43.95;
2023-07-15 17:46:40;26.2;744.06;44.01;
2023-07-15 17:47:40;26.23;744.08;43.93;
2023-07-15 17:48:40;26.24;744.1;43.9;
2023-07-15 17:49:40;26.22;744.13;43.93;
2023-07-15 17:50:40;26.22;744.12;43.97;
2023-07-15 17:51:40;26.2;744.11;44.01;
2023-07-15 17:52:40;26.22;744.09;43.97;
2023-07-15 17:53:40;26.21;744.11;43.99;
2023-07-15 17:54:40;26.22;744.1;43.98;
2023-07-15 17:55:40;26.22;744.1;43.95;
2023-07-15 17:56:40;26.21;744.11;44;
2023-07-15 17:57:40;26.22;744.12;43.99;
2023-07-15 17:58:40;26.2;744.12;44.04;
2023-07-15 17:59:40;26.19;744.14;44.05;
2023-07-15 18:00:40;26.2;744.12;44.05;
2023-07-15 18:01:40;26.22;744.12;43.97;
2023-07-15 18:02:40;26.21;744.14;43.99;
2023-07-15 18:03:40;26.2;744.13;44.05;
2023-07-15 18:04:40;26.2;744.15;44.06;
2023-07-15 18:05:40;26.2;744.15;44.05;
2023-07-15 18:06:40;26.19;744.14;44.07;
2023-07-15 18:07:40;26.19;744.16;44.08;
2023-07-15 18:08:40;26.18;744.16;44.1;
2023-07-15 18:09:40;26.21;744.16;44.05;
2023-07-15 18:10:40;26.2;744.15;44.08;
2023-07-15 18:11:40;26.21;744.15;44.04;
2023-07-15 18:12:40;26.22;744.19;44.03;
2023-07-15 18:13:40;26.21;744.17;44.04;
2023-07-15 18:14:40;26.2;744.15;44.04;
2023-07-15 18:15:40;26.2;744.21;44.06;
2023-07-15 18:16:40;26.21;744.19;44.01;
2023-07-15 18:17:40;26.21;744.19;44.02;
2023-07-15 18:18:40;26.19;744.17;44.08;
2023-07-15 18:19:40;26.19;744.19;44.09;
2023-07-15 18:20:40;26.21;744.24;44.04;
2023-07-15 18:21:40;26.21;744.18;44.05;
2023-07-15 18:22:40;26.21;744.2;44.08;
2023-07-15 18:23:40;26.2;744.2;44.09;
2023-07-15 18:24:40;26.16;744.22;44.16;
2023-07-15 18:25:40;26.19;744.2;44.11;
2023-07-15 18:26:40;26.17;744.2;44.15;
2023-07-15 18:27:40;26.18;744.22;44.13;
2023-07-15 18:28:40;26.16;744.27;44.19;
2023-07-15 18:29:40;26.19;744.25;44.12;
2023-07-15 18:30:40;26.19;744.21;44.11;
2023-07-15 18:31:40;26.2;744.24;44.13;
2023-07-15 18:32:40;26.18;744.23;44.15;
2023-07-15 18:33:40;26.19;744.23;44.15;
2023-07-15 18:34:40;26.16;744.21;44.17;
2023-07-15 18:35:40;26.18;744.21;44.12;
2023-07-15 18:36:40;26.19;744.19;44.09;
2023-07-15 18:37:40;26.21;744.23;44.06;
2023-07-15 18:38:40;26.2;744.22;44.09;
2023-07-15 18:39:40;26.18;744.27;44.13;
2023-07-15 18:40:40;26.21;744.26;44.07;
2023-07-15 18:41:40;26.17;744.3;44.16;
2023-07-15 18:42:40;26.2;744.33;44.09;
2023-07-15 18:43:40;26.21;744.38;44.05;
2023-07-15 18:44:40;26.21;744.32;44.06;
2023-07-15 18:45:40;26.17;744.33;44.11;
2023-07-15 18:46:40;26.2;744.31;44.05;
2023-07-15 18:47:40;26.2;744.31;44.04;
2023-07-15 18:48:40;26.17;744.37;44.11;
2023-07-15 18:49:40;26.18;744.35;44.11;
2023-07-15 18:50:40;26.17;744.37;44.13;
2023-07-15 18:51:40;26.18;744.37;44.13;
2023-07-15 18:52:40;26.17;744.35;44.13;
2023-07-15 18:53:40;26.15;744.39;44.15;
2023-07-15 18:54:40;26.18;744.37;44.1;
2023-07-15 18:55:40;26.13;744.38;44.16;
2023-07-15 18:56:40;26.15;744.38;44.13;
2023-07-15 18:57:40;26.17;744.4;44.07;
2023-07-15 18:58:40;26.18;744.39;44.06;
2023-07-15 18:59:40;26.18;744.39;44.05;
2023-07-15 19:00:40;26.2;744.37;44;
2023-07-15 19:01:40;26.18;744.41;44.04;
2023-07-15 19:02:41;26.18;744.4;43.99;
2023-07-15 19:03:40;26.2;744.4;43.95;
2023-07-15 19:04:40;26.21;744.45;43.94;
2023-07-15 19:05:40;26.2;744.42;43.93;
2023-07-15 19:06:40;26.18;744.46;43.96;
2023-07-15 19:07:40;26.17;744.48;43.99;
2023-07-15 19:08:40;26.17;744.47;44;
2023-07-15 19:09:40;26.19;744.48;43.97;
2023-07-15 19:10:40;26.2;744.47;43.95;
2023-07-15 19:11:40;26.21;744.46;43.94;
2023-07-15 19:12:40;26.22;744.43;43.89;
2023-07-15 19:13:40;26.22;744.47;43.89;
2023-07-15 19:14:40;26.21;744.47;43.93;
2023-07-15 19:15:40;26.21;744.47;43.96;
